id,name,state_id,created_at
1,Aba North,1,2024-10-15 12:00:00+00
2,Aba South,1,2024-10-15 12:00:00+00
3,Arochukwu,1,2024-10-15 12:00:00+00
4,Bende,1,2024-10-15 12:00:00+00
5,Ikwuano,1,2024-10-15 12:00:00+00
6,Isiala Ngwa North,1,2024-10-15 12:00:00+00
7,Isiala Ngwa South,1,2024-10-15 12:00:00+00
8,Isuikwuato,1,2024-10-15 12:00:00+00
9,Obi Ngwa,1,2024-10-15 12:00:00+00
10,Ohafia,1,2024-10-15 12:00:00+00
11,Osisioma Ngwa,1,2024-10-15 12:00:00+00
12,Ugwunagbo,1,2024-10-15 12:00:00+00
13,Ukwa East,1,2024-10-15 12:00:00+00
14,Ukwa West,1,2024-10-15 12:00:00+00
15,Umuahia North,1,2024-10-15 12:00:00+00
16,Umuahia South,1,2024-10-15 12:00:00+00
17,Umu Nneochi,1,2024-10-15 12:00:00+00
18,Aguata,2,2024-10-15 12:00:00+00
19,Anambra East,2,2024-10-15 12:00:00+00
20,Anambra West,2,2024-10-15 12:00:00+00
21,Anaocha,2,2024-10-15 12:00:00+00
22,Awka North,2,2024-10-15 12:00:00+00
23,Awka South,2,2024-10-15 12:00:00+00
24,Ayamelum,2,2024-10-15 12:00:00+00
25,Dunukofia,2,2024-10-15 12:00:00+00
26,Ekwusigo,2,2024-10-15 12:00:00+00
27,Idemili North,2,2024-10-15 12:00:00+00
28,Idemili South,2,2024-10-15 12:00:00+00
29,Ihiala,2,2024-10-15 12:00:00+00
30,Njikoka,2,2024-10-15 12:00:00+00
31,Nnewi North,2,2024-10-15 12:00:00+00
32,Nnewi South,2,2024-10-15 12:00:00+00
33,Ogbaru,2,2024-10-15 12:00:00+00
34,Onitsha North,2,2024-10-15 12:00:00+00
35,Onitsha South,2,2024-10-15 12:00:00+00
36,Orumba North,2,2024-10-15 12:00:00+00
37,Orumba South,2,2024-10-15 12:00:00+00
38,Oyi,2,2024-10-15 12:00:00+00
39,Abakaliki,3,2024-10-15 12:00:00+00
40,Afikpo,3,2024-10-15 12:00:00+00
41,Edda,3,2024-10-15 12:00:00+00
42,Ebonyi,3,2024-10-15 12:00:00+00
43,Ezza North,3,2024-10-15 12:00:00+00
44,Ezza South,3,2024-10-15 12:00:00+00
45,Ikwo,3,2024-10-15 12:00:00+00
46,Ishielu,3,2024-10-15 12:00:00+00
47,Ivo,3,2024-10-15 12:00:00+00
48,Izzi,3,2024-10-15 12:00:00+00
49,Ohaozara,3,2024-10-15 12:00:00+00
50,Ohaukwu,3,2024-10-15 12:00:00+00
51,Onicha,3,2024-10-15 12:00:00+00
52,Aninri,4,2024-10-15 12:00:00+00
53,Awgu,4,2024-10-15 12:00:00+00
54,Enugu East,4,2024-10-15 12:00:00+00
55,Enugu North,4,2024-10-15 12:00:00+00
56,Enugu South,4,2024-10-15 12:00:00+00
57,Ezeagu,4,2024-10-15 12:00:00+00
58,Igbo Etiti,4,2024-10-15 12:00:00+00
59,Igbo Eze North,4,2024-10-15 12:00:00+00
60,Igbo Eze South,4,2024-10-15 12:00:00+00
61,Isi Uzo,4,2024-10-15 12:00:00+00
62,Nkanu East,4,2024-10-15 12:00:00+00
63,Nkanu West,4,2024-10-15 12:00:00+00
64,Nsukka,4,2024-10-15 12:00:00+00
65,Oji River,4,2024-10-15 12:00:00+00
66,Udenu,4,2024-10-15 12:00:00+00
67,Udi,4,2024-10-15 12:00:00+00
68,Uzo-Uwani,4,2024-10-15 12:00:00+00
69,Aboh Mbaise,5,2024-10-15 12:00:00+00
70,Ahiazu Mbaise,5,2024-10-15 12:00:00+00
71,Ehime Mbano,5,2024-10-15 12:00:00+00
72,Ezinihitte,5,2024-10-15 12:00:00+00
73,Ideato North,5,2024-10-15 12:00:00+00
74,Ideato South,5,2024-10-15 12:00:00+00
75,Ihitte/Uboma,5,2024-10-15 12:00:00+00
76,Ikeduru,5,2024-10-15 12:00:00+00
77,Isiala Mbano,5,2024-10-15 12:00:00+00
78,Isu,5,2024-10-15 12:00:00+00
79,Mbaitoli,5,2024-10-15 12:00:00+00
80,Ngor Okpala,5,2024-10-15 12:00:00+00
81,Njaba,5,2024-10-15 12:00:00+00
82,Nkwerre,5,2024-10-15 12:00:00+00
83,Nwangele,5,2024-10-15 12:00:00+00
84,Obowo,5,2024-10-15 12:00:00+00
85,Oguta,5,2024-10-15 12:00:00+00
86,Ohaji/Egbema,5,2024-10-15 12:00:00+00
87,Okigwe,5,2024-10-15 12:00:00+00
88,Orlu,5,2024-10-15 12:00:00+00
89,Orsu,5,2024-10-15 12:00:00+00
90,Oru East,5,2024-10-15 12:00:00+00
91,Oru West,5,2024-10-15 12:00:00+00
92,Owerri Municipal,5,2024-10-15 12:00:00+00
93,Owerri North,5,2024-10-15 12:00:00+00
94,Owerri West,5,2024-10-15 12:00:00+00
95,Onuimo,5,2024-10-15 12:00:00+00
